中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.199.37.84,443,35.199.37.84,US,,中转,113 ms,350 Mbps,44851 kB/s
3.127.55.133,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,156 ms,116 Mbps,14848 kB/s
3.68.62.122,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,156 ms,112 Mbps,14336 kB/s
18.156.209.101,443,3.68.128.205,DE,,隧道,158 ms,107 Mbps,13721 kB/s
3.138.59.154,443,3.130.64.226,US,,隧道,71 ms,305 Mbps,39116 kB/s
13.38.56.6,443,13.38.56.6,FR,Paris,中转,150 ms,120 Mbps,15462 kB/s
141.145.199.188,443,2603:c027:c002:9a00:b670:5cb3:e47d:8c20,FR,,隧道,152 ms,116 Mbps,14848 kB/s
3.67.232.136,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,161 ms,108 Mbps,13824 kB/s
3.105.5.82,443,52.65.147.129,AU,,隧道,137 ms,116 Mbps,14848 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,22 ms,787 Mbps,100761 kB/s
44.230.218.23,443,54.212.217.183,US,,隧道,62 ms,484 Mbps,62054 kB/s
104.168.13.195,443,104.168.13.195,CN,San Jose,中转,44 ms,596 Mbps,76288 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,25 ms,441 Mbps,56524 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,74 ms,248 Mbps,31744 kB/s
13.57.182.91,443,2a09:bac1:76c0:1cf0::1d0:57,US,San Jose,隧道,13 ms,195 Mbps,24985 kB/s
54.78.221.80,443,54.78.221.80,IE,Dublin,中转,136 ms,125 Mbps,16076 kB/s
16.171.107.219,443,16.171.107.219,SE,Stockholm,中转,174 ms,86 Mbps,11059 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,157 ms,97 Mbps,12492 kB/s
8.219.3.53,443,8.219.3.53,SG,Singapore,中转,253 ms,56 Mbps,7256 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,73 ms,316 Mbps,40448 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,17 ms,1544 Mbps,197632 kB/s
129.80.87.156,443,129.80.87.156,US,Ashburn,中转,72 ms,275 Mbps,35225 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,85 ms,526 Mbps,67379 kB/s
8.219.66.156,443,8.219.66.156,SG,Singapore,中转,254 ms,53 Mbps,6809 kB/s
150.230.47.17,443,150.230.47.17,US,San Jose,中转,27 ms,1264 Mbps,161792 kB/s
47.236.115.54,443,47.236.115.54,SG,Singapore,中转,249 ms,47 Mbps,6113 kB/s
8.222.128.131,443,8.222.128.131,SG,Singapore,中转,254 ms,48 Mbps,6155 kB/s
40.233.77.86,443,40.233.77.86,US,Toronto,中转,64 ms,314 Mbps,40243 kB/s
18.163.233.64,443,18.163.233.64,HK,Hong Kong,中转,158 ms,108 Mbps,13926 kB/s
13.57.249.176,443,13.57.249.176,US,,中转,3 ms,777 Mbps,99532 kB/s
146.70.175.123,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,150 ms,107 Mbps,13721 kB/s
8.219.170.223,443,8.219.170.223,SG,Singapore,中转,253 ms,34 Mbps,4397 kB/s
129.153.61.213,443,129.153.61.213,CA,Toronto,中转,64 ms,304 Mbps,38912 kB/s
